[SYS] 2024/03/27 - 06:25:05 | One API v0.6.4-alpha.1 started 
[SYS] 2024/03/27 - 06:25:37 | One API v0.6.4-alpha.1 started 
[SYS] 2024/03/27 - 06:25:37 | using MySQL as database 
[FATAL] 2024/03/27 - 06:25:37 | [dial tcp 172.25.0.4:3306: connect: connection refused] 
[SYS] 2024/03/27 - 06:26:03 | One API v0.6.4-alpha.1 started 
[SYS] 2024/03/27 - 06:26:03 | using MySQL as database 
[SYS] 2024/03/27 - 06:26:03 | database migration started 
[SYS] 2024/03/27 - 06:26:04 | database migrated 
[SYS] 2024/03/27 - 06:26:04 | no user exists, creating a root user for you: username is root, password is 123456 
[SYS] 2024/03/27 - 06:26:04 | creating initial root token as requested 
[SYS] 2024/03/27 - 06:26:04 | REDIS_CONN_STRING not set, Redis is not enabled 
[SYS] 2024/03/27 - 06:26:04 | using theme default 
[SYS] 2024/03/27 - 06:26:04 | memory cache enabled 
[SYS] 2024/03/27 - 06:26:04 | sync frequency: 600 seconds 
[SYS] 2024/03/27 - 06:26:04 | channels synced from database 
[SYS] 2024/03/27 - 06:26:04 | batch update enabled with interval 10s 
[SYS] 2024/03/27 - 06:26:04 | initializing token encoders 
[SYS] 2024/03/27 - 06:26:07 | token encoders initialized 
[SYS] 2024/03/27 - 06:26:14 | batch update started 
[SYS] 2024/03/27 - 06:26:14 | batch update finished 
[SYS] 2024/03/27 - 06:26:24 | batch update started 
[SYS] 2024/03/27 - 06:26:24 | batch update finished 
[SYS] 2024/03/27 - 06:26:34 | batch update started 
[SYS] 2024/03/27 - 06:26:34 | batch update finished 
[SYS] 2024/03/27 - 06:26:44 | batch update started 
[SYS] 2024/03/27 - 06:26:44 | batch update finished 
[SYS] 2024/03/27 - 06:26:54 | batch update started 
[SYS] 2024/03/27 - 06:26:54 | batch update finished 
[SYS] 2024/03/27 - 06:27:04 | batch update started 
[SYS] 2024/03/27 - 06:27:04 | batch update finished 
[SYS] 2024/03/27 - 06:27:14 | batch update started 
[SYS] 2024/03/27 - 06:27:14 | batch update finished 
[SYS] 2024/03/27 - 06:27:24 | batch update started 
[SYS] 2024/03/27 - 06:27:24 | batch update finished 
[SYS] 2024/03/27 - 06:27:34 | batch update started 
[SYS] 2024/03/27 - 06:27:34 | batch update finished 
[SYS] 2024/03/27 - 06:27:44 | batch update started 
[SYS] 2024/03/27 - 06:27:44 | batch update finished 
[SYS] 2024/03/27 - 06:27:54 | batch update started 
[SYS] 2024/03/27 - 06:27:54 | batch update finished 
[SYS] 2024/03/27 - 06:28:04 | batch update started 
[SYS] 2024/03/27 - 06:28:04 | batch update finished 
[SYS] 2024/03/27 - 06:28:14 | batch update started 
[SYS] 2024/03/27 - 06:28:14 | batch update finished 
[SYS] 2024/03/27 - 06:28:24 | batch update started 
[SYS] 2024/03/27 - 06:28:24 | batch update finished 
[SYS] 2024/03/27 - 06:28:34 | batch update started 
[SYS] 2024/03/27 - 06:28:34 | batch update finished 
[SYS] 2024/03/27 - 06:28:44 | batch update started 
[SYS] 2024/03/27 - 06:28:44 | batch update finished 
[SYS] 2024/03/27 - 06:28:54 | batch update started 
[SYS] 2024/03/27 - 06:28:54 | batch update finished 
[SYS] 2024/03/27 - 06:29:04 | batch update started 
[SYS] 2024/03/27 - 06:29:04 | batch update finished 
[SYS] 2024/03/27 - 06:29:14 | batch update started 
[SYS] 2024/03/27 - 06:29:14 | batch update finished 
[SYS] 2024/03/27 - 06:29:24 | batch update started 
[SYS] 2024/03/27 - 06:29:24 | batch update finished 
[SYS] 2024/03/27 - 06:29:34 | batch update started 
[SYS] 2024/03/27 - 06:29:34 | batch update finished 
[SYS] 2024/03/27 - 06:29:44 | batch update started 
[SYS] 2024/03/27 - 06:29:44 | batch update finished 
[SYS] 2024/03/27 - 06:29:54 | batch update started 
[SYS] 2024/03/27 - 06:29:54 | batch update finished 
[SYS] 2024/03/27 - 06:30:04 | batch update started 
[SYS] 2024/03/27 - 06:30:04 | batch update finished 
[SYS] 2024/03/27 - 06:30:14 | batch update started 
[SYS] 2024/03/27 - 06:30:14 | batch update finished 
[SYS] 2024/03/27 - 06:30:24 | batch update started 
[SYS] 2024/03/27 - 06:30:24 | batch update finished 
[SYS] 2024/03/27 - 06:30:34 | batch update started 
[SYS] 2024/03/27 - 06:30:34 | batch update finished 
[SYS] 2024/03/27 - 06:30:44 | batch update started 
[SYS] 2024/03/27 - 06:30:44 | batch update finished 
[SYS] 2024/03/27 - 06:30:54 | batch update started 
[SYS] 2024/03/27 - 06:30:54 | batch update finished 
[SYS] 2024/03/27 - 06:31:04 | batch update started 
[SYS] 2024/03/27 - 06:31:04 | batch update finished 
[SYS] 2024/03/27 - 06:31:14 | batch update started 
[SYS] 2024/03/27 - 06:31:14 | batch update finished 
[SYS] 2024/03/27 - 06:31:24 | batch update started 
[SYS] 2024/03/27 - 06:31:24 | batch update finished 
[SYS] 2024/03/27 - 06:31:34 | batch update started 
[SYS] 2024/03/27 - 06:31:34 | batch update finished 
[SYS] 2024/03/27 - 06:31:44 | batch update started 
[SYS] 2024/03/27 - 06:31:44 | batch update finished 
[SYS] 2024/03/27 - 06:31:54 | batch update started 
[SYS] 2024/03/27 - 06:31:54 | batch update finished 
[SYS] 2024/03/27 - 06:32:04 | batch update started 
[SYS] 2024/03/27 - 06:32:04 | batch update finished 
[SYS] 2024/03/27 - 06:32:14 | batch update started 
[SYS] 2024/03/27 - 06:32:14 | batch update finished 
[SYS] 2024/03/27 - 06:32:24 | batch update started 
[SYS] 2024/03/27 - 06:32:24 | batch update finished 
[SYS] 2024/03/27 - 06:32:34 | batch update started 
[SYS] 2024/03/27 - 06:32:34 | batch update finished 
[SYS] 2024/03/27 - 06:32:44 | batch update started 
[SYS] 2024/03/27 - 06:32:44 | batch update finished 
[SYS] 2024/03/27 - 06:32:54 | batch update started 
[SYS] 2024/03/27 - 06:32:54 | batch update finished 
[SYS] 2024/03/27 - 06:33:04 | batch update started 
[SYS] 2024/03/27 - 06:33:04 | batch update finished 
[SYS] 2024/03/27 - 06:33:14 | batch update started 
[SYS] 2024/03/27 - 06:33:14 | batch update finished 
[SYS] 2024/03/27 - 06:33:24 | batch update started 
[SYS] 2024/03/27 - 06:33:24 | batch update finished 
[SYS] 2024/03/27 - 06:33:34 | batch update started 
[SYS] 2024/03/27 - 06:33:34 | batch update finished 
[SYS] 2024/03/27 - 06:33:44 | batch update started 
[SYS] 2024/03/27 - 06:33:44 | batch update finished 
[SYS] 2024/03/27 - 06:33:54 | batch update started 
[SYS] 2024/03/27 - 06:33:54 | batch update finished 
[SYS] 2024/03/27 - 06:34:04 | batch update started 
[SYS] 2024/03/27 - 06:34:04 | batch update finished 
[SYS] 2024/03/27 - 06:34:14 | batch update started 
[SYS] 2024/03/27 - 06:34:14 | batch update finished 
[SYS] 2024/03/27 - 06:34:24 | batch update started 
[SYS] 2024/03/27 - 06:34:24 | batch update finished 
[SYS] 2024/03/27 - 06:34:34 | batch update started 
[SYS] 2024/03/27 - 06:34:34 | batch update finished 
[SYS] 2024/03/27 - 06:34:44 | batch update started 
[SYS] 2024/03/27 - 06:34:44 | batch update finished 
[SYS] 2024/03/27 - 06:34:54 | batch update started 
[SYS] 2024/03/27 - 06:34:54 | batch update finished 
[SYS] 2024/03/27 - 06:35:04 | batch update started 
[SYS] 2024/03/27 - 06:35:04 | batch update finished 
[SYS] 2024/03/27 - 06:35:14 | batch update started 
[SYS] 2024/03/27 - 06:35:14 | batch update finished 
[SYS] 2024/03/27 - 06:35:24 | batch update started 
[SYS] 2024/03/27 - 06:35:24 | batch update finished 
[SYS] 2024/03/27 - 06:35:34 | batch update started 
[SYS] 2024/03/27 - 06:35:34 | batch update finished 
[SYS] 2024/03/27 - 06:35:44 | batch update started 
[SYS] 2024/03/27 - 06:35:44 | batch update finished 
[SYS] 2024/03/27 - 06:35:54 | batch update started 
[SYS] 2024/03/27 - 06:35:54 | batch update finished 
[SYS] 2024/03/27 - 06:36:04 | syncing channels from database 
[SYS] 2024/03/27 - 06:36:04 | syncing options from database 
[SYS] 2024/03/27 - 06:36:04 | channels synced from database 
[SYS] 2024/03/27 - 06:36:04 | batch update started 
[SYS] 2024/03/27 - 06:36:04 | batch update finished 
[SYS] 2024/03/27 - 06:36:14 | batch update started 
[SYS] 2024/03/27 - 06:36:14 | batch update finished 
[SYS] 2024/03/27 - 06:36:24 | batch update started 
[SYS] 2024/03/27 - 06:36:24 | batch update finished 
[SYS] 2024/03/27 - 06:36:34 | batch update started 
[SYS] 2024/03/27 - 06:36:34 | batch update finished 
[SYS] 2024/03/27 - 06:36:44 | batch update started 
[SYS] 2024/03/27 - 06:36:44 | batch update finished 
[SYS] 2024/03/27 - 06:36:54 | batch update started 
[SYS] 2024/03/27 - 06:36:54 | batch update finished 
[SYS] 2024/03/27 - 06:37:04 | batch update started 
[SYS] 2024/03/27 - 06:37:04 | batch update finished 
[SYS] 2024/03/27 - 06:37:14 | batch update started 
[SYS] 2024/03/27 - 06:37:14 | batch update finished 
[SYS] 2024/03/27 - 06:37:24 | batch update started 
[SYS] 2024/03/27 - 06:37:24 | batch update finished 
[SYS] 2024/03/27 - 06:37:34 | batch update started 
[SYS] 2024/03/27 - 06:37:34 | batch update finished 
[SYS] 2024/03/27 - 06:37:44 | batch update started 
[SYS] 2024/03/27 - 06:37:44 | batch update finished 
[SYS] 2024/03/27 - 06:37:54 | batch update started 
[SYS] 2024/03/27 - 06:37:54 | batch update finished 
[SYS] 2024/03/27 - 06:38:04 | batch update started 
[SYS] 2024/03/27 - 06:38:04 | batch update finished 
[SYS] 2024/03/27 - 06:38:14 | batch update started 
[SYS] 2024/03/27 - 06:38:14 | batch update finished 
[SYS] 2024/03/27 - 06:38:24 | batch update started 
[SYS] 2024/03/27 - 06:38:24 | batch update finished 
[SYS] 2024/03/27 - 06:38:34 | batch update started 
[SYS] 2024/03/27 - 06:38:34 | batch update finished 
[SYS] 2024/03/27 - 06:38:44 | batch update started 
[SYS] 2024/03/27 - 06:38:44 | batch update finished 
[SYS] 2024/03/27 - 06:38:54 | batch update started 
[SYS] 2024/03/27 - 06:38:54 | batch update finished 
[SYS] 2024/03/27 - 06:39:04 | batch update started 
[SYS] 2024/03/27 - 06:39:04 | batch update finished 
[SYS] 2024/03/27 - 06:39:14 | batch update started 
[SYS] 2024/03/27 - 06:39:14 | batch update finished 
[SYS] 2024/03/27 - 06:39:24 | batch update started 
[SYS] 2024/03/27 - 06:39:24 | batch update finished 
[SYS] 2024/03/27 - 06:39:34 | batch update started 
[SYS] 2024/03/27 - 06:39:34 | batch update finished 
[SYS] 2024/03/27 - 06:39:44 | batch update started 
[SYS] 2024/03/27 - 06:39:44 | batch update finished 
[SYS] 2024/03/27 - 06:39:54 | batch update started 
[SYS] 2024/03/27 - 06:39:54 | batch update finished 
[SYS] 2024/03/27 - 06:40:04 | batch update started 
[SYS] 2024/03/27 - 06:40:04 | batch update finished 
[SYS] 2024/03/27 - 06:40:14 | batch update started 
[SYS] 2024/03/27 - 06:40:14 | batch update finished 
[SYS] 2024/03/27 - 06:40:24 | batch update started 
[SYS] 2024/03/27 - 06:40:24 | batch update finished 
[SYS] 2024/03/27 - 06:40:34 | batch update started 
[SYS] 2024/03/27 - 06:40:34 | batch update finished 
[SYS] 2024/03/27 - 06:40:44 | batch update started 
[SYS] 2024/03/27 - 06:40:44 | batch update finished 
[SYS] 2024/03/27 - 06:40:54 | batch update started 
[SYS] 2024/03/27 - 06:40:54 | batch update finished 
[SYS] 2024/03/27 - 06:41:04 | batch update started 
[SYS] 2024/03/27 - 06:41:04 | batch update finished 
[SYS] 2024/03/27 - 06:41:14 | batch update started 
[SYS] 2024/03/27 - 06:41:14 | batch update finished 
[SYS] 2024/03/27 - 06:41:24 | batch update started 
[SYS] 2024/03/27 - 06:41:24 | batch update finished 
[SYS] 2024/03/27 - 06:41:34 | batch update started 
[SYS] 2024/03/27 - 06:41:34 | batch update finished 
[SYS] 2024/03/27 - 06:41:44 | batch update started 
[SYS] 2024/03/27 - 06:41:44 | batch update finished 
[SYS] 2024/03/27 - 06:41:54 | batch update started 
[SYS] 2024/03/27 - 06:41:54 | batch update finished 
[SYS] 2024/03/27 - 06:42:04 | batch update started 
[SYS] 2024/03/27 - 06:42:04 | batch update finished 
[SYS] 2024/03/27 - 06:42:14 | batch update started 
[SYS] 2024/03/27 - 06:42:14 | batch update finished 
[SYS] 2024/03/27 - 06:42:24 | batch update started 
[SYS] 2024/03/27 - 06:42:24 | batch update finished 
[SYS] 2024/03/27 - 06:42:34 | batch update started 
[SYS] 2024/03/27 - 06:42:34 | batch update finished 
[SYS] 2024/03/27 - 06:42:44 | batch update started 
[SYS] 2024/03/27 - 06:42:44 | batch update finished 
[SYS] 2024/03/27 - 06:42:54 | batch update started 
[SYS] 2024/03/27 - 06:42:54 | batch update finished 
[SYS] 2024/03/27 - 06:43:04 | batch update started 
[SYS] 2024/03/27 - 06:43:04 | batch update finished 
[SYS] 2024/03/27 - 06:43:14 | batch update started 
[SYS] 2024/03/27 - 06:43:14 | batch update finished 
[SYS] 2024/03/27 - 06:43:24 | batch update started 
[SYS] 2024/03/27 - 06:43:24 | batch update finished 
[SYS] 2024/03/27 - 06:43:34 | batch update started 
[SYS] 2024/03/27 - 06:43:34 | batch update finished 
[SYS] 2024/03/27 - 06:43:44 | batch update started 
[SYS] 2024/03/27 - 06:43:44 | batch update finished 
[SYS] 2024/03/27 - 06:43:54 | batch update started 
[SYS] 2024/03/27 - 06:43:54 | batch update finished 
[SYS] 2024/03/27 - 06:44:05 | batch update started 
[SYS] 2024/03/27 - 06:44:05 | batch update finished 
[SYS] 2024/03/27 - 06:44:15 | batch update started 
[SYS] 2024/03/27 - 06:44:15 | batch update finished 
[SYS] 2024/03/27 - 06:44:25 | batch update started 
[SYS] 2024/03/27 - 06:44:25 | batch update finished 
[SYS] 2024/03/27 - 06:44:35 | batch update started 
[SYS] 2024/03/27 - 06:44:35 | batch update finished 
[SYS] 2024/03/27 - 06:44:45 | batch update started 
[SYS] 2024/03/27 - 06:44:45 | batch update finished 
[SYS] 2024/03/27 - 06:44:55 | batch update started 
[SYS] 2024/03/27 - 06:44:55 | batch update finished 
[SYS] 2024/03/27 - 06:45:05 | batch update started 
[SYS] 2024/03/27 - 06:45:05 | batch update finished 
[SYS] 2024/03/27 - 06:45:15 | batch update started 
[SYS] 2024/03/27 - 06:45:15 | batch update finished 
[SYS] 2024/03/27 - 06:45:25 | batch update started 
[SYS] 2024/03/27 - 06:45:25 | batch update finished 
[SYS] 2024/03/27 - 06:45:35 | batch update started 
[SYS] 2024/03/27 - 06:45:35 | batch update finished 
[SYS] 2024/03/27 - 06:45:45 | batch update started 
[SYS] 2024/03/27 - 06:45:45 | batch update finished 
[SYS] 2024/03/27 - 06:45:55 | batch update started 
[SYS] 2024/03/27 - 06:45:55 | batch update finished 
[SYS] 2024/03/27 - 06:46:04 | syncing channels from database 
[SYS] 2024/03/27 - 06:46:04 | syncing options from database 
[SYS] 2024/03/27 - 06:46:04 | channels synced from database 
[SYS] 2024/03/27 - 06:46:05 | batch update started 
[SYS] 2024/03/27 - 06:46:05 | batch update finished 
[SYS] 2024/03/27 - 06:46:15 | batch update started 
[SYS] 2024/03/27 - 06:46:15 | batch update finished 
[SYS] 2024/03/27 - 06:46:25 | batch update started 
[SYS] 2024/03/27 - 06:46:25 | batch update finished 
[SYS] 2024/03/27 - 06:46:35 | batch update started 
[SYS] 2024/03/27 - 06:46:35 | batch update finished 
[SYS] 2024/03/27 - 06:46:45 | batch update started 
[SYS] 2024/03/27 - 06:46:45 | batch update finished 
[SYS] 2024/03/27 - 06:46:55 | batch update started 
[SYS] 2024/03/27 - 06:46:55 | batch update finished 
[SYS] 2024/03/27 - 06:47:05 | batch update started 
[SYS] 2024/03/27 - 06:47:05 | batch update finished 
[SYS] 2024/03/27 - 06:47:15 | batch update started 
[SYS] 2024/03/27 - 06:47:15 | batch update finished 
[SYS] 2024/03/27 - 06:47:25 | batch update started 
[SYS] 2024/03/27 - 06:47:25 | batch update finished 
[SYS] 2024/03/27 - 06:47:35 | batch update started 
[SYS] 2024/03/27 - 06:47:35 | batch update finished 
[SYS] 2024/03/27 - 06:47:45 | batch update started 
[SYS] 2024/03/27 - 06:47:45 | batch update finished 
[SYS] 2024/03/27 - 06:47:55 | batch update started 
[SYS] 2024/03/27 - 06:47:55 | batch update finished 
[SYS] 2024/03/27 - 06:48:05 | batch update started 
[SYS] 2024/03/27 - 06:48:05 | batch update finished 
[SYS] 2024/03/27 - 06:48:15 | batch update started 
[SYS] 2024/03/27 - 06:48:15 | batch update finished 
[SYS] 2024/03/27 - 06:48:25 | batch update started 
[SYS] 2024/03/27 - 06:48:25 | batch update finished 
[SYS] 2024/03/27 - 06:48:35 | batch update started 
[SYS] 2024/03/27 - 06:48:35 | batch update finished 
[SYS] 2024/03/27 - 06:48:45 | batch update started 
[SYS] 2024/03/27 - 06:48:45 | batch update finished 
[SYS] 2024/03/27 - 06:48:55 | batch update started 
[SYS] 2024/03/27 - 06:48:55 | batch update finished 
[SYS] 2024/03/27 - 06:49:05 | batch update started 
[SYS] 2024/03/27 - 06:49:05 | batch update finished 
[SYS] 2024/03/27 - 06:49:15 | batch update started 
[SYS] 2024/03/27 - 06:49:15 | batch update finished 
[SYS] 2024/03/27 - 06:49:25 | batch update started 
[SYS] 2024/03/27 - 06:49:25 | batch update finished 
[SYS] 2024/03/27 - 06:49:35 | batch update started 
[SYS] 2024/03/27 - 06:49:35 | batch update finished 
[SYS] 2024/03/27 - 06:49:45 | batch update started 
[SYS] 2024/03/27 - 06:49:45 | batch update finished 
[SYS] 2024/03/27 - 06:49:55 | batch update started 
[SYS] 2024/03/27 - 06:49:55 | batch update finished 
[SYS] 2024/03/27 - 06:50:05 | batch update started 
[SYS] 2024/03/27 - 06:50:05 | batch update finished 
[SYS] 2024/03/27 - 06:50:15 | batch update started 
[SYS] 2024/03/27 - 06:50:15 | batch update finished 
[SYS] 2024/03/27 - 06:50:25 | batch update started 
[SYS] 2024/03/27 - 06:50:25 | batch update finished 
[SYS] 2024/03/27 - 06:50:35 | batch update started 
[SYS] 2024/03/27 - 06:50:35 | batch update finished 
[SYS] 2024/03/27 - 06:50:45 | batch update started 
[SYS] 2024/03/27 - 06:50:45 | batch update finished 
[SYS] 2024/03/27 - 06:50:55 | batch update started 
[SYS] 2024/03/27 - 06:50:55 | batch update finished 
[SYS] 2024/03/27 - 06:51:05 | batch update started 
[SYS] 2024/03/27 - 06:51:05 | batch update finished 
[SYS] 2024/03/27 - 06:51:15 | batch update started 
[SYS] 2024/03/27 - 06:51:15 | batch update finished 
[SYS] 2024/03/27 - 06:51:25 | batch update started 
[SYS] 2024/03/27 - 06:51:25 | batch update finished 
[SYS] 2024/03/27 - 06:51:35 | batch update started 
[SYS] 2024/03/27 - 06:51:35 | batch update finished 
[SYS] 2024/03/27 - 06:51:45 | batch update started 
[SYS] 2024/03/27 - 06:51:45 | batch update finished 
[SYS] 2024/03/27 - 06:51:55 | batch update started 
[SYS] 2024/03/27 - 06:51:55 | batch update finished 
[SYS] 2024/03/27 - 06:52:05 | batch update started 
[SYS] 2024/03/27 - 06:52:05 | batch update finished 
[SYS] 2024/03/27 - 06:52:15 | batch update started 
[SYS] 2024/03/27 - 06:52:15 | batch update finished 
[SYS] 2024/03/27 - 06:52:25 | batch update started 
[SYS] 2024/03/27 - 06:52:25 | batch update finished 
[SYS] 2024/03/27 - 06:52:35 | batch update started 
[SYS] 2024/03/27 - 06:52:35 | batch update finished 
[SYS] 2024/03/27 - 06:52:45 | batch update started 
[SYS] 2024/03/27 - 06:52:45 | batch update finished 
[SYS] 2024/03/27 - 06:52:55 | batch update started 
[SYS] 2024/03/27 - 06:52:55 | batch update finished 
[SYS] 2024/03/27 - 06:53:05 | batch update started 
[SYS] 2024/03/27 - 06:53:05 | batch update finished 
[SYS] 2024/03/27 - 06:53:15 | batch update started 
[SYS] 2024/03/27 - 06:53:15 | batch update finished 
[SYS] 2024/03/27 - 06:53:25 | batch update started 
[SYS] 2024/03/27 - 06:53:25 | batch update finished 
[SYS] 2024/03/27 - 06:53:35 | batch update started 
[SYS] 2024/03/27 - 06:53:35 | batch update finished 
[SYS] 2024/03/27 - 06:53:45 | batch update started 
[SYS] 2024/03/27 - 06:53:45 | batch update finished 
[SYS] 2024/03/27 - 06:53:55 | batch update started 
[SYS] 2024/03/27 - 06:53:55 | batch update finished 
[SYS] 2024/03/27 - 06:54:05 | batch update started 
[SYS] 2024/03/27 - 06:54:05 | batch update finished 
[SYS] 2024/03/27 - 06:54:15 | batch update started 
[SYS] 2024/03/27 - 06:54:15 | batch update finished 
[SYS] 2024/03/27 - 06:54:25 | batch update started 
[SYS] 2024/03/27 - 06:54:25 | batch update finished 
[SYS] 2024/03/27 - 06:54:35 | batch update started 
[SYS] 2024/03/27 - 06:54:35 | batch update finished 
[SYS] 2024/03/27 - 06:54:45 | batch update started 
[SYS] 2024/03/27 - 06:54:45 | batch update finished 
[SYS] 2024/03/27 - 06:54:55 | batch update started 
[SYS] 2024/03/27 - 06:54:55 | batch update finished 
[SYS] 2024/03/27 - 06:55:05 | batch update started 
[SYS] 2024/03/27 - 06:55:05 | batch update finished 
[SYS] 2024/03/27 - 06:55:15 | batch update started 
[SYS] 2024/03/27 - 06:55:15 | batch update finished 
[SYS] 2024/03/27 - 06:55:25 | batch update started 
[SYS] 2024/03/27 - 06:55:25 | batch update finished 
[SYS] 2024/03/27 - 06:55:35 | batch update started 
[SYS] 2024/03/27 - 06:55:35 | batch update finished 
[SYS] 2024/03/27 - 06:55:45 | batch update started 
[SYS] 2024/03/27 - 06:55:45 | batch update finished 
[SYS] 2024/03/27 - 06:55:55 | batch update started 
[SYS] 2024/03/27 - 06:55:55 | batch update finished 
[SYS] 2024/03/27 - 06:56:04 | syncing options from database 
[SYS] 2024/03/27 - 06:56:04 | syncing channels from database 
[SYS] 2024/03/27 - 06:56:04 | channels synced from database 
[SYS] 2024/03/27 - 06:56:05 | batch update started 
[SYS] 2024/03/27 - 06:56:05 | batch update finished 
[SYS] 2024/03/27 - 06:56:15 | batch update started 
[SYS] 2024/03/27 - 06:56:15 | batch update finished 
[SYS] 2024/03/27 - 06:56:25 | batch update started 
[SYS] 2024/03/27 - 06:56:25 | batch update finished 
[SYS] 2024/03/27 - 06:56:35 | batch update started 
[SYS] 2024/03/27 - 06:56:35 | batch update finished 
[SYS] 2024/03/27 - 06:56:45 | batch update started 
[SYS] 2024/03/27 - 06:56:45 | batch update finished 
[SYS] 2024/03/27 - 06:56:55 | batch update started 
[SYS] 2024/03/27 - 06:56:55 | batch update finished 
[SYS] 2024/03/27 - 06:57:05 | batch update started 
[SYS] 2024/03/27 - 06:57:05 | batch update finished 
[SYS] 2024/03/27 - 06:57:15 | batch update started 
[SYS] 2024/03/27 - 06:57:15 | batch update finished 
[SYS] 2024/03/27 - 06:57:25 | batch update started 
[SYS] 2024/03/27 - 06:57:25 | batch update finished 
[SYS] 2024/03/27 - 06:57:35 | batch update started 
[SYS] 2024/03/27 - 06:57:35 | batch update finished 
[SYS] 2024/03/27 - 06:57:45 | batch update started 
[SYS] 2024/03/27 - 06:57:45 | batch update finished 
[SYS] 2024/03/27 - 06:57:55 | batch update started 
[SYS] 2024/03/27 - 06:57:55 | batch update finished 
[SYS] 2024/03/27 - 06:58:05 | batch update started 
[SYS] 2024/03/27 - 06:58:05 | batch update finished 
[SYS] 2024/03/27 - 06:58:15 | batch update started 
[SYS] 2024/03/27 - 06:58:15 | batch update finished 
[SYS] 2024/03/27 - 06:58:25 | batch update started 
[SYS] 2024/03/27 - 06:58:25 | batch update finished 
[SYS] 2024/03/27 - 06:58:35 | batch update started 
[SYS] 2024/03/27 - 06:58:35 | batch update finished 
[SYS] 2024/03/27 - 06:58:45 | batch update started 
[SYS] 2024/03/27 - 06:58:45 | batch update finished 
[SYS] 2024/03/27 - 06:58:55 | batch update started 
[SYS] 2024/03/27 - 06:58:55 | batch update finished 
[SYS] 2024/03/27 - 06:59:05 | batch update started 
[SYS] 2024/03/27 - 06:59:05 | batch update finished 
[SYS] 2024/03/27 - 06:59:15 | batch update started 
[SYS] 2024/03/27 - 06:59:15 | batch update finished 
[SYS] 2024/03/27 - 06:59:25 | batch update started 
[SYS] 2024/03/27 - 06:59:25 | batch update finished 
[SYS] 2024/03/27 - 06:59:35 | batch update started 
[SYS] 2024/03/27 - 06:59:35 | batch update finished 
[SYS] 2024/03/27 - 06:59:45 | batch update started 
[SYS] 2024/03/27 - 06:59:45 | batch update finished 
[SYS] 2024/03/27 - 06:59:55 | batch update started 
[SYS] 2024/03/27 - 06:59:55 | batch update finished 
[SYS] 2024/03/27 - 07:00:05 | batch update started 
[SYS] 2024/03/27 - 07:00:05 | batch update finished 
[SYS] 2024/03/27 - 07:00:15 | batch update started 
[SYS] 2024/03/27 - 07:00:15 | batch update finished 
[SYS] 2024/03/27 - 07:00:25 | batch update started 
[SYS] 2024/03/27 - 07:00:25 | batch update finished 
[SYS] 2024/03/27 - 07:00:35 | batch update started 
[SYS] 2024/03/27 - 07:00:35 | batch update finished 
[SYS] 2024/03/27 - 07:00:45 | batch update started 
[SYS] 2024/03/27 - 07:00:45 | batch update finished 
[SYS] 2024/03/27 - 07:00:55 | batch update started 
[SYS] 2024/03/27 - 07:00:55 | batch update finished 
[SYS] 2024/03/27 - 07:01:05 | batch update started 
[SYS] 2024/03/27 - 07:01:05 | batch update finished 
[SYS] 2024/03/27 - 07:01:15 | batch update started 
[SYS] 2024/03/27 - 07:01:15 | batch update finished 
[SYS] 2024/03/27 - 07:01:25 | batch update started 
[SYS] 2024/03/27 - 07:01:25 | batch update finished 
[SYS] 2024/03/27 - 07:01:35 | batch update started 
